"About 10 years ago* I took on the task to teach global development to Swedish undergraduate students. That was after having spent about 20 years together with African institutions studying hunger in Africa* so I was sort of expected to know a little about the world. And I started in our medical university* Karolinska Institute* an undergraduate course called Global Health. But when you get that opportunity* you get a little nervous. I thought* these students coming to us actually have the highest grade you can get in Swedish college systems -- so* I thought* maybe they know everything I'm going to teach them about. So I did a pre-test when they came. And one of the questions from which I learned a lot was this one: ""Which country has the highest child mortality of these five pairs?""",I began teaching global development to Swedish undergrads ten years ago. I did a pre-test asking them which countries had the highest child mortality.|
"About 10 years ago* I took on the task to teach global development to Swedish undergraduate students. That was after having spent about 20 years together with African institutions studying hunger in Africa* so I was sort of expected to know a little about the world. And I started in our medical university* Karolinska Institute* an undergraduate course called Global Health. But when you get that opportunity* you get a little nervous. I thought* these students coming to us actually have the highest grade you can get in Swedish college systems -- so* I thought* maybe they know everything I'm going to teach them about. So I did a pre-test when they came. And one of the questions from which I learned a lot was this one: ""Which country has the highest child mortality of these five pairs?""",10 years ago I created a class called global health at the Karolinska Institute. I gave the students a pretext at the beginning of the course. Some most informative question was: which country has the highest child mortality rate of these pairs.|
"About 10 years ago* I took on the task to teach global development to Swedish undergraduate students. That was after having spent about 20 years together with African institutions studying hunger in Africa* so I was sort of expected to know a little about the world. And I started in our medical university* Karolinska Institute* an undergraduate course called Global Health. But when you get that opportunity* you get a little nervous. I thought* these students coming to us actually have the highest grade you can get in Swedish college systems -- so* I thought* maybe they know everything I'm going to teach them about. So I did a pre-test when they came. And one of the questions from which I learned a lot was this one: ""Which country has the highest child mortality of these five pairs?""",After teaching in Africa for 20 years* I began teaching Swedish undergrads at the Karolinska Institute. Not knowing where they were* I offered them a pre-test. |
And I put them together* so that in each pair of country* one has twice the child mortality of the other. And this means that it's much bigger a difference than the uncertainty of the data. I won't put you at a test here* but it's Turkey* which is highest there* Poland* Russia* Pakistan and South Africa. And these were the results of the Swedish students. I did it so I got the confidence interval* which is pretty narrow* and I got happy* of course: a 1.8 right answer out of five possible. That means that there was a place for a professor of international health -- (Laughter) and for my course.,Using a narrow confidence interval* I found high child mortality rates in Turkey* Poland* Russia* pakistan* and South Africa. |
And I put them together* so that in each pair of country* one has twice the child mortality of the other. And this means that it's much bigger a difference than the uncertainty of the data. I won't put you at a test here* but it's Turkey* which is highest there* Poland* Russia* Pakistan and South Africa. And these were the results of the Swedish students. I did it so I got the confidence interval* which is pretty narrow* and I got happy* of course: a 1.8 right answer out of five possible. That means that there was a place for a professor of international health -- (Laughter) and for my course.,In order to understand the inner and outer workings of the system* you have to see the different parts of the system that make up the whole system. Once you put all of the parts together* you have the system in its entirety.|
And I put them together* so that in each pair of country* one has twice the child mortality of the other. And this means that it's much bigger a difference than the uncertainty of the data. I won't put you at a test here* but it's Turkey* which is highest there* Poland* Russia* Pakistan and South Africa. And these were the results of the Swedish students. I did it so I got the confidence interval* which is pretty narrow* and I got happy* of course: a 1.8 right answer out of five possible. That means that there was a place for a professor of international health -- (Laughter) and for my course.,I paired the countries so that each pair has one pair with twice the child mortality rate of the other.|
But one late night* when I was compiling the report I really realized my discovery. I have shown that Swedish top students know statistically significantly less about the world than the chimpanzees. (Laughter) Because the chimpanzee would score half right if I gave them two bananas with Sri Lanka and Turkey. They would be right half of the cases.,Chimps could score better than the best of Swedish students. |
But one late night* when I was compiling the report I really realized my discovery. I have shown that Swedish top students know statistically significantly less about the world than the chimpanzees. (Laughter) Because the chimpanzee would score half right if I gave them two bananas with Sri Lanka and Turkey. They would be right half of the cases.,I realized that Chimpanzees are smarter than Swedish Students because if given two bananas with Sri Lanka and Turkey* they'd be right half the time.|I have no context to which this paragraph is about. Is he quizzing the monkeys? Why would they get two bananas with Sri Lanka and Turkey?
But one late night* when I was compiling the report I really realized my discovery. I have shown that Swedish top students know statistically significantly less about the world than the chimpanzees. (Laughter) Because the chimpanzee would score half right if I gave them two bananas with Sri Lanka and Turkey. They would be right half of the cases.,I have shown that Swedish top students know less about the world than the chimpanzees. The chimpanzees are right in half the cases.|
But the students are not there. The problem for me was not ignorance; it was preconceived ideas.,The students are not there. The problem was preconceived ideas.|
But the students are not there. The problem for me was not ignorance; it was preconceived ideas.,The problem was that the students did not approach the question objectively.|
But the students are not there. The problem for me was not ignorance; it was preconceived ideas.,The students are gone* and the problem is preconceived ideas rather than ignorance. |
I did also an unethical study of the professors of the Karolinska Institute (Laughter) -- that hands out the Nobel Prize in Medicine* and they are on par with the chimpanzee there.(Laughter) This is where I realized that there was really a need to communicate* because the data of what's happening in the world and the child health of every country is very well aware.,The professors of the Karolinska Institute that hands out Medicine's Nobel Prize are almost he equivalent of chimps. Communication surrounding data needs to improve. |
I did also an unethical study of the professors of the Karolinska Institute (Laughter) -- that hands out the Nobel Prize in Medicine* and they are on par with the chimpanzee there.(Laughter) This is where I realized that there was really a need to communicate* because the data of what's happening in the world and the child health of every country is very well aware.,I studied the professors of the Karolinska Institute. They need to communicate the data of what's happening in the world and the health of children in every country.|
I did also an unethical study of the professors of the Karolinska Institute (Laughter) -- that hands out the Nobel Prize in Medicine* and they are on par with the chimpanzee there.(Laughter) This is where I realized that there was really a need to communicate* because the data of what's happening in the world and the child health of every country is very well aware.,I also showed that the professors of the Karolinska Institute are on par with the chimpanzees. There is a great need to communicate the data of what's happening in the world.|
"We did this software which displays it like this: every bubble here is a country. This country over here is China. This is India. The size of the bubble is the population* and on this axis here I put fertility rate. Because my students* what they said when they looked upon the world* and I asked them* ""What do you really think about the world?"" Well* I first discovered that the textbook was Tintin* mainly. (Laughter) And they said* ""The world is still 'we' and 'them.' And we is Western world and them is Third World."" ""And what do you mean with Western world?"" I said. ""Well* that's long life and small family* and Third World is short life and large family.""",We used a software the displayed the countries as bubbles* with the size displaying the population and the fertility rate. The students saw the world as divided into the Western world and the Third World. Western world has long lives and small families while Third World has short lives and large families.|
"We did this software which displays it like this: every bubble here is a country. This country over here is China. This is India. The size of the bubble is the population* and on this axis here I put fertility rate. Because my students* what they said when they looked upon the world* and I asked them* ""What do you really think about the world?"" Well* I first discovered that the textbook was Tintin* mainly. (Laughter) And they said* ""The world is still 'we' and 'them.' And we is Western world and them is Third World."" ""And what do you mean with Western world?"" I said. ""Well* that's long life and small family* and Third World is short life and large family.""",On software we displayed a graph which represented the population and fertility rate of China and India.  My students looked at the graph and identified themselves as Western world citizens* with small population and low fertility rate* and the Third World as large population due to large family size. |The textbook sentence (Tintin) did not make much sense to me.
"We did this software which displays it like this: every bubble here is a country. This country over here is China. This is India. The size of the bubble is the population* and on this axis here I put fertility rate. Because my students* what they said when they looked upon the world* and I asked them* ""What do you really think about the world?"" Well* I first discovered that the textbook was Tintin* mainly. (Laughter) And they said* ""The world is still 'we' and 'them.' And we is Western world and them is Third World."" ""And what do you mean with Western world?"" I said. ""Well* that's long life and small family* and Third World is short life and large family.""",There is a large differences seen by students who notice the western world has long lives and small families while the Third World has short lives and large families. |
So this is what I could display here. I put fertility rate here: number of children per woman:one* two* three* four* up to about eight children per woman. We have very good data since 1962 -- 1960 about -- on the size of families in all countries. The error margin is narrow. Here I put life expectancy at birth* from 30 years in some countries up to about 70 years.And 1962* there was really a group of countries here that was industrialized countries* and they had small families and long lives. And these were the developing countries: they had large families and they had relatively short lives. Now what has happened since 1962? We want to see the change. Are the students right? Is it still two types of countries? Or have these developing countries got smaller families and they live here? Or have they got longer lives and live up there?,We've been studying data on the size of families in all countries since about 1960. In 1962 industrial countries had smaller families and longer lives while developing countries had larger families and shorter lives. The question is: what has changed since 1962?|
So this is what I could display here. I put fertility rate here: number of children per woman:one* two* three* four* up to about eight children per woman. We have very good data since 1962 -- 1960 about -- on the size of families in all countries. The error margin is narrow. Here I put life expectancy at birth* from 30 years in some countries up to about 70 years.And 1962* there was really a group of countries here that was industrialized countries* and they had small families and long lives. And these were the developing countries: they had large families and they had relatively short lives. Now what has happened since 1962? We want to see the change. Are the students right? Is it still two types of countries? Or have these developing countries got smaller families and they live here? Or have they got longer lives and live up there?,In 1962* people in industrialized countries had small families and long lives. People in developing countries had large families and short lives. Now this is changing.|
So this is what I could display here. I put fertility rate here: number of children per woman:one* two* three* four* up to about eight children per woman. We have very good data since 1962 -- 1960 about -- on the size of families in all countries. The error margin is narrow. Here I put life expectancy at birth* from 30 years in some countries up to about 70 years.And 1962* there was really a group of countries here that was industrialized countries* and they had small families and long lives. And these were the developing countries: they had large families and they had relatively short lives. Now what has happened since 1962? We want to see the change. Are the students right? Is it still two types of countries? Or have these developing countries got smaller families and they live here? Or have they got longer lives and live up there?,Since 1962 there is very good data surrounding family size. Developed countries tend to have small families and long lives* while developing countries have larger families and shorter lives. |
Let's see. We stopped the world then. This is all U.N. statistics that have been available. Here we go. Can you see there? It's China there* moving against better health there* improving there. All the green Latin American countries are moving towards smaller families. Your yellow ones here are the Arabic countries* and they get larger families* but they -- no* longer life* but not larger families. The Africans are the green down here. They still remain here. This is India. Indonesia's moving on pretty fast. (Laughter) And in the '80s here* you have Bangladesh still among the African countries there. But now* Bangladesh -- it's a miracle that happens in the '80s: the imams start to promote family planning. They move up into that corner. And in '90s* we have the terrible HIV epidemic that takes down the life expectancy of the African countries and all the rest of them move up into the corner* where we have long lives and small family* and we have a completely new world.(Applause),Several countries have differing trends regarding family size and life expectancy. HIV had an especially large impact in Africa. |
Let's see. We stopped the world then. This is all U.N. statistics that have been available. Here we go. Can you see there? It's China there* moving against better health there* improving there. All the green Latin American countries are moving towards smaller families. Your yellow ones here are the Arabic countries* and they get larger families* but they -- no* longer life* but not larger families. The Africans are the green down here. They still remain here. This is India. Indonesia's moving on pretty fast. (Laughter) And in the '80s here* you have Bangladesh still among the African countries there. But now* Bangladesh -- it's a miracle that happens in the '80s: the imams start to promote family planning. They move up into that corner. And in '90s* we have the terrible HIV epidemic that takes down the life expectancy of the African countries and all the rest of them move up into the corner* where we have long lives and small family* and we have a completely new world.(Applause),Many countries* but not the African countries* now have changed so that they have longer lives and smaller families. It is a completely new world.|
Let's see. We stopped the world then. This is all U.N. statistics that have been available. Here we go. Can you see there? It's China there* moving against better health there* improving there. All the green Latin American countries are moving towards smaller families. Your yellow ones here are the Arabic countries* and they get larger families* but they -- no* longer life* but not larger families. The Africans are the green down here. They still remain here. This is India. Indonesia's moving on pretty fast. (Laughter) And in the '80s here* you have Bangladesh still among the African countries there. But now* Bangladesh -- it's a miracle that happens in the '80s: the imams start to promote family planning. They move up into that corner. And in '90s* we have the terrible HIV epidemic that takes down the life expectancy of the African countries and all the rest of them move up into the corner* where we have long lives and small family* and we have a completely new world.(Applause),Since the 1980s* shifts have been happening in Latin America* Asia and Africa towards smaller families and longer life spans.|
Let me make a comparison directly between the United States of America and Vietnam.1964: America had small families and long life; Vietnam had large families and short lives. And this is what happens: the data during the war indicate that even with all the death*there was an improvement of life expectancy. By the end of the year* the family planning started in Vietnam and they went for smaller families. And the United States up there is getting for longer life* keeping family size. And in the '80s now* they give up communist planning and they go for market economy* and it moves faster even than social life. And today* we have in Vietnam the same life expectancy and the same family size here in Vietnam* 2003* as in United States* 1974* by the end of the war. I think we all -- if we don't look in the data -- we underestimate the tremendous change in Asia* which was in social change before we saw the economical change.,Family planning started in Vietnam in 1964* and now* families are smaller and life expectancy is longer* much like is now seen in the United States.|
